"","realtime_start","realtime_end","date","value"
"1","2022-02-27","2022-02-27","1954-07-01","0.80"
"2","2022-02-27","2022-02-27","1954-08-01","1.22"
"3","2022-02-27","2022-02-27","1954-09-01","1.07"
"4","2022-02-27","2022-02-27","1954-10-01","0.85"
"5","2022-02-27","2022-02-27","1954-11-01","0.83"
"6","2022-02-27","2022-02-27","1954-12-01","1.28"
"7","2022-02-27","2022-02-27","1955-01-01","1.39"
"8","2022-02-27","2022-02-27","1955-02-01","1.29"
"9","2022-02-27","2022-02-27","1955-03-01","1.35"
"10","2022-02-27","2022-02-27","1955-04-01","1.43"
"11","2022-02-27","2022-02-27","1955-05-01","1.43"
"12","2022-02-27","2022-02-27","1955-06-01","1.64"
"13","2022-02-27","2022-02-27","1955-07-01","1.68"
"14","2022-02-27","2022-02-27","1955-08-01","1.96"
"15","2022-02-27","2022-02-27","1955-09-01","2.18"
"16","2022-02-27","2022-02-27","1955-10-01","2.24"
"17","2022-02-27","2022-02-27","1955-11-01","2.35"
"18","2022-02-27","2022-02-27","1955-12-01","2.48"
"19","2022-02-27","2022-02-27","1956-01-01","2.45"
"20","2022-02-27","2022-02-27","1956-02-01","2.50"
"21","2022-02-27","2022-02-27","1956-03-01","2.50"
"22","2022-02-27","2022-02-27","1956-04-01","2.62"
"23","2022-02-27","2022-02-27","1956-05-01","2.75"
"24","2022-02-27","2022-02-27","1956-06-01","2.71"
"25","2022-02-27","2022-02-27","1956-07-01","2.75"
"26","2022-02-27","2022-02-27","1956-08-01","2.73"
"27","2022-02-27","2022-02-27","1956-09-01","2.95"
"28","2022-02-27","2022-02-27","1956-10-01","2.96"
"29","2022-02-27","2022-02-27","1956-11-01","2.88"
"30","2022-02-27","2022-02-27","1956-12-01","2.94"
"31","2022-02-27","2022-02-27","1957-01-01","2.84"
"32","2022-02-27","2022-02-27","1957-02-01","3.00"
"33","2022-02-27","2022-02-27","1957-03-01","2.96"
"34","2022-02-27","2022-02-27","1957-04-01","3.00"
"35","2022-02-27","2022-02-27","1957-05-01","3.00"
"36","2022-02-27","2022-02-27","1957-06-01","3.00"
"37","2022-02-27","2022-02-27","1957-07-01","2.99"
"38","2022-02-27","2022-02-27","1957-08-01","3.24"
"39","2022-02-27","2022-02-27","1957-09-01","3.47"
"40","2022-02-27","2022-02-27","1957-10-01","3.50"
"41","2022-02-27","2022-02-27","1957-11-01","3.28"
"42","2022-02-27","2022-02-27","1957-12-01","2.98"
"43","2022-02-27","2022-02-27","1958-01-01","2.72"
"44","2022-02-27","2022-02-27","1958-02-01","1.67"
"45","2022-02-27","2022-02-27","1958-03-01","1.20"
"46","2022-02-27","2022-02-27","1958-04-01","1.26"
"47","2022-02-27","2022-02-27","1958-05-01","0.63"
"48","2022-02-27","2022-02-27","1958-06-01","0.93"
"49","2022-02-27","2022-02-27","1958-07-01","0.68"
"50","2022-02-27","2022-02-27","1958-08-01","1.53"
"51","2022-02-27","2022-02-27","1958-09-01","1.76"
"52","2022-02-27","2022-02-27","1958-10-01","1.80"
"53","2022-02-27","2022-02-27","1958-11-01","2.27"
"54","2022-02-27","2022-02-27","1958-12-01","2.42"
"55","2022-02-27","2022-02-27","1959-01-01","2.48"
"56","2022-02-27","2022-02-27","1959-02-01","2.43"
"57","2022-02-27","2022-02-27","1959-03-01","2.80"
"58","2022-02-27","2022-02-27","1959-04-01","2.96"
"59","2022-02-27","2022-02-27","1959-05-01","2.90"
"60","2022-02-27","2022-02-27","1959-06-01","3.39"
"61","2022-02-27","2022-02-27","1959-07-01","3.47"
"62","2022-02-27","2022-02-27","1959-08-01","3.50"
"63","2022-02-27","2022-02-27","1959-09-01","3.76"
"64","2022-02-27","2022-02-27","1959-10-01","3.98"
"65","2022-02-27","2022-02-27","1959-11-01","4.00"
"66","2022-02-27","2022-02-27","1959-12-01","3.99"
"67","2022-02-27","2022-02-27","1960-01-01","3.99"
"68","2022-02-27","2022-02-27","1960-02-01","3.97"
"69","2022-02-27","2022-02-27","1960-03-01","3.84"
"70","2022-02-27","2022-02-27","1960-04-01","3.92"
"71","2022-02-27","2022-02-27","1960-05-01","3.85"
"72","2022-02-27","2022-02-27","1960-06-01","3.32"
"73","2022-02-27","2022-02-27","1960-07-01","3.23"
"74","2022-02-27","2022-02-27","1960-08-01","2.98"
"75","2022-02-27","2022-02-27","1960-09-01","2.60"
"76","2022-02-27","2022-02-27","1960-10-01","2.47"
"77","2022-02-27","2022-02-27","1960-11-01","2.44"
