"","Indicador","Data","Suavizada","Media","Mediana","DesvioPadrao","Minimo","Maximo","numeroRespondentes","baseCalculo"
"1","IPCA",2005-01-03,"N",6.08,6.01,0.41,4.99,7.96,NA,0
"2","IPCA",2005-01-03,"S",5.86,5.79,0.44,NA,NA,NA,0
"3","IPCA",2005-01-04,"N",6.08,6.01,0.41,4.99,7.96,NA,0
"4","IPCA",2005-01-04,"S",5.85,5.78,0.44,NA,NA,NA,0
"5","IPCA",2005-01-05,"N",6.07,6.01,0.4,4.99,7.96,NA,0
"6","IPCA",2005-01-05,"S",5.84,5.77,0.43,NA,NA,NA,0
"7","IPCA",2005-01-06,"N",6.08,6.01,0.41,4.99,7.96,NA,0
"8","IPCA",2005-01-06,"S",5.83,5.76,0.44,NA,NA,NA,0
"9","IPCA",2005-01-07,"N",6.09,6.01,0.4,4.99,7.96,NA,0
"10","IPCA",2005-01-07,"S",5.82,5.75,0.44,NA,NA,NA,0
"11","IPCA",2005-01-10,"N",6.08,6.01,0.41,4.99,7.96,NA,0
"12","IPCA",2005-01-10,"S",5.8,5.73,0.45,NA,NA,NA,0
"13","IPCA",2005-01-11,"N",6.09,6.03,0.41,4.99,7.96,NA,0
"14","IPCA",2005-01-11,"S",5.79,5.73,0.46,NA,NA,NA,0
"15","IPCA",2005-01-12,"N",6.08,6.01,0.42,4.99,7.96,NA,0
"16","IPCA",2005-01-12,"S",5.77,5.71,0.46,NA,NA,NA,0
"17","IPCA",2005-01-13,"N",6.07,6.01,0.41,4.99,7.96,NA,0
"18","IPCA",2005-01-13,"S",5.75,5.69,0.46,NA,NA,NA,0
"19","IPCA",2005-01-14,"N",5.73,5.7,0.42,4.8,8.01,NA,0
"20","IPCA",2005-01-14,"S",5.75,5.69,0.49,NA,NA,NA,0
"21","IPCA",2005-01-17,"N",5.73,5.7,0.42,4.8,8.01,NA,0
"22","IPCA",2005-01-17,"S",5.74,5.67,0.49,NA,NA,NA,0
"23","IPCA",2005-01-18,"N",5.73,5.7,0.42,4.8,8.01,NA,0
"24","IPCA",2005-01-18,"S",5.73,5.66,0.49,NA,NA,NA,0
"25","IPCA",2005-01-19,"N",5.73,5.7,0.42,4.8,8.01,NA,0
"26","IPCA",2005-01-19,"S",5.72,5.65,0.49,NA,NA,NA,0
"27","IPCA",2005-01-20,"N",5.73,5.69,0.43,4.8,8.01,NA,0
"28","IPCA",2005-01-20,"S",5.72,5.64,0.5,NA,NA,NA,0
"29","IPCA",2005-01-21,"N",5.74,5.7,0.43,4.8,8.01,NA,0
"30","IPCA",2005-01-21,"S",5.73,5.65,0.5,NA,NA,NA,0
"31","IPCA",2005-01-24,"N",5.75,5.7,0.42,4.8,8.01,NA,0
"32","IPCA",2005-01-24,"S",5.71,5.65,0.49,NA,NA,NA,0
"33","IPCA",2005-01-25,"N",5.75,5.7,0.41,4.96,8,NA,0
"34","IPCA",2005-01-25,"S",5.71,5.66,0.47,NA,NA,NA,0
"35","IPCA",2005-01-26,"N",5.74,5.7,0.41,4.96,8,NA,0
"36","IPCA",2005-01-26,"S",5.7,5.66,0.47,NA,NA,NA,0
"37","IPCA",2005-01-27,"N",5.74,5.7,0.37,4.96,7.5,NA,0
"38","IPCA",2005-01-27,"S",5.69,5.66,0.43,NA,NA,NA,0
"39","IPCA",2005-01-28,"N",5.74,5.72,0.37,4.96,7.5,NA,0
"40","IPCA",2005-01-28,"S",5.69,5.65,0.44,NA,NA,NA,0
"41","IPCA",2005-01-31,"N",5.74,5.73,0.38,4.96,7.5,NA,0
"42","IPCA",2005-01-31,"S",5.67,5.61,0.46,NA,NA,NA,0
"43","IPCA",2005-02-01,"N",5.74,5.72,0.38,4.96,7.5,NA,0
"44","IPCA",2005-02-01,"S",5.67,5.6,0.46,NA,NA,NA,0
"45","IPCA",2005-02-02,"N",5.74,5.73,0.38,4.96,7.5,NA,0
"46","IPCA",2005-02-02,"S",5.66,5.61,0.46,NA,NA,NA,0
"47","IPCA",2005-02-03,"N",5.75,5.75,0.38,4.96,7.5,NA,0
"48","IPCA",2005-02-03,"S",5.66,5.61,0.46,NA,NA,NA,0
"49","IPCA",2005-02-04,"N",5.75,5.75,0.38,4.96,7.5,NA,0
"50","IPCA",2005-02-04,"S",5.65,5.6,0.46,NA,NA,NA,0
"51","IPCA",2005-02-09,"N",5.75,5.75,0.38,4.96,7.5,NA,0
"52","IPCA",2005-02-09,"S",5.64,5.58,0.47,NA,NA,NA,0
"53","IPCA",2005-02-10,"N",5.74,5.75,0.39,4.96,7.5,NA,0
"54","IPCA",2005-02-10,"S",5.64,5.57,0.48,NA,NA,NA,0
"55","IPCA",2005-02-11,"N",5.74,5.74,0.38,4.96,7.51,NA,0
"56","IPCA",2005-02-11,"S",5.64,5.56,0.48,NA,NA,NA,0
