"","code","date","value","uname","tcode"
"1","JPM366_EMBI366",1994-04-29,1120,"",NA
"2","JPM366_EMBI366",1994-05-02,1131,"",NA
"3","JPM366_EMBI366",1994-05-03,1081,"",NA
"4","JPM366_EMBI366",1994-05-04,1083,"",NA
"5","JPM366_EMBI366",1994-05-05,1105,"",NA
"6","JPM366_EMBI366",1994-05-06,1151,"",NA
"7","JPM366_EMBI366",1994-05-09,1179,"",NA
"8","JPM366_EMBI366",1994-05-10,1193,"",NA
"9","JPM366_EMBI366",1994-05-11,1185,"",NA
"10","JPM366_EMBI366",1994-05-12,1167,"",NA
"11","JPM366_EMBI366",1994-05-13,1200,"",NA
"12","JPM366_EMBI366",1994-05-16,1251,"",NA
"13","JPM366_EMBI366",1994-05-17,1277,"",NA
"14","JPM366_EMBI366",1994-05-18,1256,"",NA
"15","JPM366_EMBI366",1994-05-19,1173,"",NA
"16","JPM366_EMBI366",1994-05-20,1173,"",NA
"17","JPM366_EMBI366",1994-05-23,1105,"",NA
"18","JPM366_EMBI366",1994-05-24,1080,"",NA
"19","JPM366_EMBI366",1994-05-25,1061,"",NA
"20","JPM366_EMBI366",1994-05-26,1072,"",NA
"21","JPM366_EMBI366",1994-05-27,1070,"",NA
"22","JPM366_EMBI366",1994-05-31,1079,"",NA
"23","JPM366_EMBI366",1994-06-01,1103,"",NA
"24","JPM366_EMBI366",1994-06-02,1123,"",NA
"25","JPM366_EMBI366",1994-06-03,1103,"",NA
"26","JPM366_EMBI366",1994-06-06,1087,"",NA
"27","JPM366_EMBI366",1994-06-07,1047,"",NA
"28","JPM366_EMBI366",1994-06-08,1024,"",NA
"29","JPM366_EMBI366",1994-06-09,1045,"",NA
"30","JPM366_EMBI366",1994-06-10,1028,"",NA
"31","JPM366_EMBI366",1994-06-13,1055,"",NA
"32","JPM366_EMBI366",1994-06-14,1069,"",NA
"33","JPM366_EMBI366",1994-06-15,1077,"",NA
"34","JPM366_EMBI366",1994-06-16,1102,"",NA
"35","JPM366_EMBI366",1994-06-17,1101,"",NA
"36","JPM366_EMBI366",1994-06-20,1126,"",NA
"37","JPM366_EMBI366",1994-06-21,1142,"",NA
"38","JPM366_EMBI366",1994-06-22,1126,"",NA
"39","JPM366_EMBI366",1994-06-23,1129,"",NA
"40","JPM366_EMBI366",1994-06-24,1158,"",NA
"41","JPM366_EMBI366",1994-06-27,1173,"",NA
"42","JPM366_EMBI366",1994-06-28,1177,"",NA
"43","JPM366_EMBI366",1994-06-29,1161,"",NA
"44","JPM366_EMBI366",1994-06-30,1183,"",NA
"45","JPM366_EMBI366",1994-07-01,1179,"",NA
"46","JPM366_EMBI366",1994-07-05,1169,"",NA
"47","JPM366_EMBI366",1994-07-06,1168,"",NA
"48","JPM366_EMBI366",1994-07-07,1135,"",NA
"49","JPM366_EMBI366",1994-07-08,1121,"",NA
