"","Data","exp_inf","mediana_embi","Cupom","value","selic_media","juro_nat","juro_real","diff_juros"
"1",2005-01-01,5.67,422,3.49,2.28,17.9435483870968,9.99,12.2735483870968,0.662716474908802
"2",2005-02-01,5.56,404.5,3.4,2.5,18.4642857142857,9.945,12.9042857142857,1.24081945744426
"3",2005-03-01,5.45,422,4.29,2.63,18.991935483871,11.14,13.541935483871,1.82594744014771
"4",2005-04-01,5.48,450,3.89,2.79,19.3333333333333,11.18,13.8533333333333,2.08516795620613
"5",2005-05-01,5.39,438.5,3.88,3,19.6048387096774,11.265,14.2148387096774,2.39511234750004
"6",2005-06-01,5.07,419.5,3.72,3.04,19.75,10.955,14.68,2.80964174081992
"7",2005-07-01,5,408,4.18,3.26,19.75,11.52,14.75,2.83029019422249
"8",2005-08-01,4.93,402,4.3,3.5,19.75,11.82,14.82,2.85263382693387
"9",2005-09-01,4.77,370,4.21,3.62,19.6166666666667,11.53,14.8466666666667,2.83378189214973
"10",2005-10-01,4.685,373,4.48,3.78,19.3064516129032,11.99,14.6214516129032,2.56563882306433
"11",2005-11-01,4.64,349,4.68,4,18.8833333333333,12.17,14.2433333333333,2.14766946825716
"12",2005-12-01,4.505,313,4.61,4.16,18.2258064516129,11.9,13.7208064516129,1.58885937567258
"13",2006-01-01,4.575,284,4.88,4.29,17.6854838709677,12.01,13.1104838709677,0.946307210593352
"14",2006-02-01,4.48,230.5,5.04,4.49,17.25,11.835,12.77,0.578149251114338
"15",2006-03-01,4.37,230,4.83,4.59,16.6935483870968,11.72,12.3235483870968,0.109091621827979
"16",2006-04-01,4.2,235,4.91,4.79,16.2,12.05,12,-0.231457352016632
"17",2006-05-01,4.185,251,5.12,4.94,15.75,12.57,11.565,-0.677280814346476
"18",2006-06-01,4.23,261.5,5.06,4.99,15.25,12.665,11.02,-1.22634285627073
"19",2006-07-01,4.4,243,5.12,5.24,15.0564516129032,12.79,10.6564516129032,-1.58663032717526
"20",2006-08-01,4.5,219,5.33,5.25,14.7338709677419,12.77,10.2338709677419,-1.99809463372966
"21",2006-09-01,4.29,225,5.39,5.25,14.25,12.89,9.96,-2.25249935657282
"22",2006-10-01,4.06,214,5.24,5.25,14.0403225806452,12.63,9.98032258064516,-2.20390350435976
"23",2006-11-01,4.13,220,5.24,5.25,13.7333333333333,12.69,9.60333333333333,-2.54340238171296
"24",2006-12-01,4.14,203,5.4,5.24,13.25,12.67,9.11,-2.98964913149716
"25",2007-01-01,4.025,191,5.46,5.25,13.1935483870968,12.62,9.16854838709677,-2.87407655874764
"26",2007-02-01,3.9,182,5.77,5.26,13,12.85,9.1,-2.87536137727384
"27",2007-03-01,3.78,190.5,6,5.26,12.8064516129032,13.165,9.02645161290323,-2.871145127558
"28",2007-04-01,3.625,154.5,5.7,5.25,12.65,12.495,9.025,-2.78413008887575
"29",2007-05-01,3.445,148,5.93,5.25,12.5,12.66,9.055,-2.65484849010159
"30",2007-06-01,3.465,146,6.43,5.25,12.1166666666667,13.14,8.65166666666667,-2.9480199749114
"31",2007-07-01,3.56,158,6.27,5.26,11.7903225806452,13.11,8.23032258064516,-3.24832264284303
"32",2007-08-01,3.67,200,6.91,5.02,11.5,13.93,7.83,-3.51683188222044
"33",2007-09-01,3.76,195.5,6.66,4.94,11.2916666666667,13.555,7.53166666666667,-3.67280088602271
"34",2007-10-01,3.83,170,6.12,4.76,11.25,12.58,7.42,-3.63195255648444
"35",2007-11-01,3.91,206,5.58,4.49,11.25,12.13,7.34,-3.54985044661504
"36",2007-12-01,4.1,214,5.58,4.24,11.25,11.96,7.15,-3.56883089049644
"37",2008-01-01,4.3,244,4.4,3.94,11.25,10.78,6.95,-3.58964967704046
"38",2008-02-01,4.26,258,4.07,2.98,11.25,9.63,6.99,-3.36314878745843
"39",2008-03-01,4.3,276,4.42,2.61,11.25,9.79,6.95,-3.21018689395611
"40",2008-04-01,4.37,240,3.44,2.28,11.4833333333333,8.12,7.11333333333333,-2.84823911674028
"41",2008-05-01,4.635,206.5,3.67,1.98,11.75,7.715,7.115,-2.64308820192784
"42",2008-06-01,4.95,190,4.61,2,12.1833333333333,8.51,7.23333333333333,-2.31705567532667
"43",2008-07-01,5.35,232,4.52,2.01,12.4435483870968,8.85,7.09354838709677,-2.24543946118935
"44",2008-08-01,5.3,239,4.55,2,13,8.94,7.7,-1.42432544958552
"45",2008-09-01,5.18,281.5,4.33,1.81,13.5,8.955,8.32,-0.586808583848081
"46",2008-10-01,5.2,485,7.27,0.97,13.75,13.09,8.55,-0.136831221985236
"47",2008-11-01,5.385,460,6.79,0.39,13.75,11.78,8.365,-0.0997906815345324
"48",2008-12-01,5.21,489,6.15,0.16,13.75,11.2,8.54,0.298609944356894
"49",2009-01-01,4.91,429,3.9,0.15,13.4274193548387,8.34,8.51741935483871,0.499856694511276
"50",2009-02-01,4.635,426,2.96,0.22,12.75,7.44,8.115,0.320552729372077
"51",2009-03-01,4.3,432.5,3,0.18,11.7822580645161,7.505,7.48225806451613,-0.0909469885507299
"52",2009-04-01,4.19,383,1.92,0.15,11.2166666666667,5.9,7.02666666666667,-0.328305893106083
"53",2009-05-01,4.03,310,1.89,0.18,10.25,5.17,6.22,-0.92088160641214
"54",2009-06-01,4.09,280.5,2.1,0.21,9.61666666666667,5.115,5.52666666666667,-1.40529630222368
